Region,Year,hpi,hpi_growth,hpi_growth_pct,Date,Proxy_or_Full
"New York-Newark-Jersey City, NY-NJ Metro Area",2010,231.8925,-0.034153503337255385,-3.4153503337255384,2010-01-01,Proxy
"New York-Newark-Jersey City, NY-NJ Metro Area",2011,226.335,-0.023965846243410218,-2.396584624341022,2011-01-01,Proxy
"New York-Newark-Jersey City, NY-NJ Metro Area",2012,222.965,-0.014889433803874808,-1.4889433803874808,2012-01-01,Proxy
"New York-Newark-Jersey City, NY-NJ Metro Area",2013,224.96,0.008947592671495546,0.8947592671495546,2013-01-01,Proxy
"New York-Newark-Jersey City, NY-NJ Metro Area",2014,231.62,0.02960526315789472,2.960526315789472,2014-01-01,Proxy
"Orlando-Kissimmee-Sanford, FL Metro Area",2005,226.0225,0.2717898942156201,27.17898942156201,2005-01-01,Full
"Orlando-Kissimmee-Sanford, FL Metro Area",2006,272.855,0.2072028227278258,20.72028227278258,2006-01-01,Full
"Orlando-Kissimmee-Sanford, FL Metro Area",2007,273.235,0.0013926810943541274,0.13926810943541273,2007-01-01,Full
"Orlando-Kissimmee-Sanford, FL Metro Area",2008,230.0325,-0.15811480959613525,-15.811480959613524,2008-01-01,Full
"Orlando-Kissimmee-Sanford, FL Metro Area",2009,190.8225,-0.1704541749535392,-17.04541749535392,2009-01-01,Full
"Orlando-Kissimmee-Sanford, FL Metro Area",2010,164.39499999999998,-0.13849257818129418,-13.849257818129418,2010-01-01,Full
"Orlando-Kissimmee-Sanford, FL Metro Area",2011,149.4175,-0.09110678548617655,-9.110678548617654,2011-01-01,Full
"Orlando-Kissimmee-Sanford, FL Metro Area",2012,146.64,-0.01858885338062813,-1.8588853380628128,2012-01-01,Full
"Orlando-Kissimmee-Sanford, FL Metro Area",2013,161.205,0.09932487725040935,9.932487725040936,2013-01-01,Full
"Orlando-Kissimmee-Sanford, FL Metro Area",2014,178.28,0.1059210322260475,10.59210322260475,2014-01-01,Full
"Phoenix-Mesa-Chandler, AZ Metro Area",2005,239.7575,0.334692571046845,33.4692571046845,2005-01-01,Full
"Phoenix-Mesa-Chandler, AZ Metro Area",2006,288.4125,0.20293421477951692,20.293421477951693,2006-01-01,Full
"Phoenix-Mesa-Chandler, AZ Metro Area",2007,283.5125,-0.016989554890998255,-1.6989554890998255,2007-01-01,Full
"Phoenix-Mesa-Chandler, AZ Metro Area",2008,234.83249999999998,-0.17170318769013715,-17.170318769013715,2008-01-01,Full
"Phoenix-Mesa-Chandler, AZ Metro Area",2009,188.76500000000001,-0.19617173943129665,-19.617173943129664,2009-01-01,Full
"Phoenix-Mesa-Chandler, AZ Metro Area",2010,164.8525,-0.12667867454242057,-12.667867454242057,2010-01-01,Full
"Phoenix-Mesa-Chandler, AZ Metro Area",2011,146.89249999999998,-0.10894587585872224,-10.894587585872225,2011-01-01,Full
"Phoenix-Mesa-Chandler, AZ Metro Area",2012,158.4875,0.07893527579692652,7.893527579692653,2012-01-01,Full
"Phoenix-Mesa-Chandler, AZ Metro Area",2013,186.8225,0.17878381575834043,17.878381575834045,2013-01-01,Full
"Phoenix-Mesa-Chandler, AZ Metro Area",2014,206.975,0.10786976943355327,10.786976943355327,2014-01-01,Full
"Riverside-San Bernardino-Ontario, CA Metro Area",2005,287.47,0.24775380875906092,24.77538087590609,2005-01-01,Full
"Riverside-San Bernardino-Ontario, CA Metro Area",2006,328.0225,0.14106689393675845,14.106689393675845,2006-01-01,Full
"Riverside-San Bernardino-Ontario, CA Metro Area",2007,315.64,-0.03774893490537995,-3.7748934905379947,2007-01-01,Full
"Riverside-San Bernardino-Ontario, CA Metro Area",2008,226.7725,-0.281547015587378,-28.1547015587378,2008-01-01,Full
"Riverside-San Bernardino-Ontario, CA Metro Area",2009,181.2175,-0.2008841460053578,-20.08841460053578,2009-01-01,Full
"Riverside-San Bernardino-Ontario, CA Metro Area",2010,175.91500000000002,-0.029260419109633343,-2.926041910963334,2010-01-01,Full
"Riverside-San Bernardino-Ontario, CA Metro Area",2011,167.4275,-0.04824773328027747,-4.824773328027747,2011-01-01,Full
"Riverside-San Bernardino-Ontario, CA Metro Area",2012,166.985,-0.0026429350017171337,-0.2642935001717134,2012-01-01,Full
"Riverside-San Bernardino-Ontario, CA Metro Area",2013,193.67249999999999,0.15981974428840895,15.981974428840894,2013-01-01,Full
"Riverside-San Bernardino-Ontario, CA Metro Area",2014,225.565,0.16467232054111974,16.467232054111975,2014-01-01,Full
"San Diego-Chula Vista-Carlsbad, CA Metro Area",2005,287.47,0.24775380875906092,24.77538087590609,2005-01-01,Full
"San Diego-Chula Vista-Carlsbad, CA Metro Area",2006,328.0225,0.14106689393675845,14.106689393675845,2006-01-01,Full
"San Diego-Chula Vista-Carlsbad, CA Metro Area",2007,315.64,-0.03774893490537995,-3.7748934905379947,2007-01-01,Full
"San Diego-Chula Vista-Carlsbad, CA Metro Area",2008,226.7725,-0.281547015587378,-28.1547015587378,2008-01-01,Full
"San Diego-Chula Vista-Carlsbad, CA Metro Area",2009,181.2175,-0.2008841460053578,-20.08841460053578,2009-01-01,Full
"San Diego-Chula Vista-Carlsbad, CA Metro Area",2010,175.91500000000002,-0.029260419109633343,-2.926041910963334,2010-01-01,Full
"San Diego-Chula Vista-Carlsbad, CA Metro Area",2011,167.4275,-0.04824773328027747,-4.824773328027747,2011-01-01,Full
"San Diego-Chula Vista-Carlsbad, CA Metro Area",2012,166.985,-0.0026429350017171337,-0.2642935001717134,2012-01-01,Full
"San Diego-Chula Vista-Carlsbad, CA Metro Area",2013,193.67249999999999,0.15981974428840895,15.981974428840894,2013-01-01,Full
"San Diego-Chula Vista-Carlsbad, CA Metro Area",2014,225.565,0.16467232054111974,16.467232054111975,2014-01-01,Full
